run,session,correct_answers,timed_out_questions,reward
qwen3.5-4b-answer-then-verify,16,0,0,0
qwen3.5-4b-answer-then-verify,17,9,1,16000
qwen3.5-4b-answer-then-verify,18,0,1,0
qwen3.5-4b-answer-then-verify,19,2,1,200
qwen3.5-4b-answer-then-verify,20,1,1,100
qwen3.5-4b-answer-then-verify,21,7,1,4000
qwen3.5-4b-answer-then-verify,22,0,1,0
qwen3.5-4b-answer-then-verify,23,0,1,0
qwen3.5-4b-answer-then-verify,24,3,0,300
qwen3.5-4b-answer-then-verify,25,4,1,500
qwen3.5-4b-answer-then-verify,26,2,1,200
qwen3.5-4b-answer-then-verify,27,2,0,200
qwen3.5-4b-answer-then-verify,28,0,0,0
qwen3.5-4b-answer-then-verify,29,1,0,100
qwen3.5-4b-answer-then-verify,30,7,1,4000
qwen3.5-4b-answer-then-verify,31,10,0,32000
qwen3.5-4b-answer-then-verify,32,1,1,100
qwen3.5-4b-answer-then-verify,33,2,0,200
qwen3.5-4b-base,1,0,0,0
qwen3.5-4b-base,2,1,1,100
qwen3.5-4b-base,3,3,0,300
qwen3.5-4b-base,4,7,0,4000
qwen3.5-4b-base,5,2,1,200
qwen3.5-4b-base,6,3,1,300
qwen3.5-4b-base,7,5,0,1000
qwen3.5-4b-base,8,3,0,300
qwen3.5-4b-base,9,1,0,100
qwen3.5-4b-base,10,9,0,16000
qwen3.5-4b-base,11,2,0,200
qwen3.5-4b-base,12,8,0,8000
qwen3.5-4b-base,13,5,0,1000
qwen3.5-4b-base,14,1,0,100
qwen3.5-4b-base,15,2,1,200
qwen3.5_4b_eager_categorization_calc,1,1,1,100
qwen3.5_4b_eager_categorization_calc,2,1,0,100
qwen3.5_4b_eager_categorization_calc,3,4,0,500
qwen3.5_4b_eager_categorization_calc,4,2,1,200
qwen3.5_4b_eager_categorization_calc,5,10,1,32000
qwen3.5_4b_eager_categorization_calc,6,5,1,1000
qwen3.5_4b_eager_categorization_calc,7,6,1,2000
qwen3.5_4b_eager_categorization_calc,8,13,0,256000
qwen3.5_4b_eager_categorization_calc,9,2,1,200
qwen3.5_4b_eager_categorization_calc,10,1,0,100
qwen3.5_4b_eager_categorization_calc,11,6,1,2000
qwen3.5_4b_eager_categorization_calc,12,1,1,100
qwen3.5_4b_eager_categorization_calc,13,4,1,500
qwen3.5_4b_eager_categorization_calc,14,0,1,0
qwen3.5_4b_eager_categorization_calc,15,6,1,2000
qwen3.5_4b_eager_categorization_calc,16,2,1,200
qwen3.5_4b_eager_categorization_calc,17,10,1,32000
qwen3.5_4b_eager_categorization_calc,18,0,0,0
qwen3.5_4b_eager_categorization_calc,19,9,1,16000
qwen3.5_4b_eager_categorization_calc,20,2,1,200
qwen3.5_4b_eager_categorization_calc,21,0,1,0
qwen3.5_4b_eager_categorization_calc,22,3,1,300
qwen3.5_4b_eager_categorization_calc,23,4,1,500
qwen3.5_4b_eager_categorization_calc,24,5,1,1000
qwen3.5_4b_eager_categorization_calc,25,0,1,0
qwen3.5_4b_eager_categorization_calc,26,0,0,0
qwen3.5_4b_eager_categorization_calc,27,5,1,1000
qwen3.5_4b_eager_categorization_calc,28,2,0,200
qwen3.5_4b_eager_categorization_calc,29,3,1,300
qwen3.5_4b_eager_categorization_calc,30,10,0,32000
qwen3.5_4b_pythoneval,1,3,1,300
qwen3.5_4b_pythoneval,2,3,1,300
qwen3.5_4b_pythoneval,3,8,0,8000
qwen3.5_4b_pythoneval,4,2,1,200
qwen3.5_4b_pythoneval,5,0,1,0
qwen3.5_4b_pythoneval,6,7,1,4000
qwen3.5_4b_pythoneval,7,4,0,500
qwen3.5_4b_pythoneval,8,0,1,0
qwen3.5_4b_pythoneval,9,3,0,300
qwen3.5_4b_pythoneval,10,0,0,0
qwen3.5_4b_pythoneval,11,0,1,0
qwen3.5_4b_pythoneval,12,9,0,16000
qwen3.5_4b_pythoneval,13,0,0,0
qwen3.5_4b_pythoneval,14,4,1,500
qwen3.5_4b_pythoneval,15,4,1,500
qwen3.5_4b_pythoneval,16,1,1,100
qwen3.5_4b_pythoneval,17,7,1,4000
qwen3.5_4b_pythoneval,18,2,0,200
qwen3.5_4b_pythoneval,19,2,0,200
qwen3.5_4b_pythoneval,20,3,1,300
qwen3.5_4b_pythoneval,21,5,1,1000
qwen3.5_4b_pythoneval,22,1,1,100
qwen3.5_4b_pythoneval,23,5,1,1000
qwen3.5_4b_pythoneval,24,3,1,300
qwen3.5_4b_pythoneval,25,6,0,2000
qwen3.5_4b_pythoneval,26,0,1,0
qwen3.5_4b_pythoneval,27,0,0,0
qwen3.5_4b_pythoneval,28,1,1,100
qwen3.5_4b_pythoneval,29,2,1,200
qwen3.5_4b_pythoneval,30,8,1,8000
qwen3.5_4b_simplecalc,1,0,1,0
qwen3.5_4b_simplecalc,2,3,1,300
qwen3.5_4b_simplecalc,3,8,1,8000
qwen3.5_4b_simplecalc,4,9,0,16000
qwen3.5_4b_simplecalc,5,15,0,1024000
qwen3.5_4b_simplecalc,6,3,0,300
qwen3.5_4b_simplecalc,7,1,1,100
qwen3.5_4b_simplecalc,8,1,1,100
qwen3.5_4b_simplecalc,9,3,0,300
qwen3.5_4b_simplecalc,10,4,1,500
qwen3.5_4b_simplecalc,11,2,1,200
qwen3.5_4b_simplecalc,12,1,1,100
qwen3.5_4b_simplecalc,13,7,1,4000
qwen3.5_4b_simplecalc,14,5,1,1000
qwen3.5_4b_simplecalc,15,12,1,128000
qwen3.5_4b_simplecalc,16,1,1,100
qwen3.5_4b_simplecalc,17,2,1,200
qwen3.5_4b_simplecalc,18,1,1,100
qwen3.5_4b_simplecalc,19,2,0,200
qwen3.5_4b_simplecalc,20,9,0,16000
qwen3.5_4b_simplecalc,21,6,0,2000
qwen3.5_4b_simplecalc,22,2,1,200
qwen3.5_4b_simplecalc,23,7,1,4000
qwen3.5_4b_simplecalc,24,10,1,32000
qwen3.5_4b_simplecalc,25,3,0,300
qwen3.5_4b_simplecalc,26,3,1,300
qwen3.5_4b_simplecalc,27,9,1,16000
qwen3.5_4b_simplecalc,28,5,1,1000
qwen3.5_4b_simplecalc,29,1,0,100
qwen3.5_4b_simplecalc,30,2,1,200
